Module	Nodes
background_control.uniprot_ppi.no_tool	502
background_control.amygdala.firstneighbor	8270
background_control.hypothalamus.firstneighbor	8268
background_control.hypothalamus.robust	581
background_control.brain.firstneighbor	8369
background_control.amygdala.robust	594
background_control.hypothalamus.robust_bias_aware	580
background_control.uniprot_ppi.robust	710
background_control.uniprot_ppi.robust_bias_aware	707
background_control.salivary_gland.firstneighbor	8390
background_control.uniprot_ppi.firstneighbor	11377
background_control.amygdala.robust_bias_aware	595
background_control.dorsal_root_ganglia.firstneighbor	8522
background_control.brain.robust	596
background_control.brain.robust_bias_aware	598
background_control.salivary_gland.robust	592
background_control.salivary_gland.robust_bias_aware	591
background_control.dorsal_root_ganglia.robust	596
background_control.hypothalamus.rwr	758
background_control.dorsal_root_ganglia.robust_bias_aware	599
background_control.hypothalamus.diamond	606
background_control.amygdala.diamond	603
background_control.brain.diamond	612
background_control.salivary_gland.diamond	613
background_control.uniprot_ppi.diamond	702
background_control.amygdala.rwr	760
background_control.uniprot_ppi.rwr	1040
background_control.dorsal_root_ganglia.diamond	615
background_control.brain.rwr	747
background_control.salivary_gland.rwr	844
background_control.dorsal_root_ganglia.rwr	787
background_control.uniprot_ppi.domino	592